127.0.0.1 - - [03/Sep/2014:14:27:55 +0200] "GET /CentarZaTestiranje/javax.faces.resource/theme.css.jsf?ln=primefaces-aristo HTTP/1.1" 200 28235
127.0.0.1 - - [03/Sep/2014:14:27:55 +0200] "GET /favicon.ico HTTP/1.1" 404 973
127.0.0.1 - - [03/Sep/2014:14:28:01 +0200] "POST /CentarZaTestiranje/test.jsf HTTP/1.1" 200 1720
127.0.0.1 - - [03/Sep/2014:14:28:02 +0200] "GET /CentarZaTestiranje/javax.faces.resource/hello.js.jsf?ln=js HTTP/1.1" 200 344
127.0.0.1 - - [03/Sep/2014:14:28:02 +0200] "GET /CentarZaTestiranje/javax.faces.resource/theme.css.jsf?ln=primefaces-aristo HTTP/1.1" 200 28235
127.0.0.1 - - [03/Sep/2014:14:28:02 +0200] "GET /favicon.ico HTTP/1.1" 404 973
127.0.0.1 - - [03/Sep/2014:14:44:24 +0200] "GET /CentarZaTestiranje/test.jsf HTTP/1.1" 200 1651
127.0.0.1 - - [03/Sep/2014:14:44:24 +0200] "GET /CentarZaTestiranje/javax.faces.resource/hello.js.jsf?ln=js HTTP/1.1" 200 354
127.0.0.1 - - [03/Sep/2014:14:44:26 +0200] "GET /CentarZaTestiranje/javax.faces.resource/theme.css.jsf?ln=primefaces-aristo HTTP/1.1" 200 28235
127.0.0.1 - - [03/Sep/2014:14:44:34 +0200] "POST /CentarZaTestiranje/test.jsf HTTP/1.1" 200 1843
127.0.0.1 - - [03/Sep/2014:14:44:34 +0200] "GET /CentarZaTestiranje/javax.faces.resource/hello.js.jsf?ln=js HTTP/1.1" 200 354
127.0.0.1 - - [03/Sep/2014:14:44:34 +0200] "GET /CentarZaTestiranje/javax.faces.resource/theme.css.jsf?ln=primefaces-aristo HTTP/1.1" 200 28235
127.0.0.1 - - [03/Sep/2014:14:45:47 +0200] "GET /CentarZaTestiranje/test.jsf HTTP/1.1" 200 1743
127.0.0.1 - - [03/Sep/2014:14:45:48 +0200] "GET /CentarZaTestiranje/javax.faces.resource/hello.js.jsf?ln=js HTTP/1.1" 200 354
127.0.0.1 - - [03/Sep/2014:14:45:48 +0200] "GET /CentarZaTestiranje/javax.faces.resource/theme.css.jsf?ln=primefaces-aristo HTTP/1.1" 200 28235
127.0.0.1 - - [03/Sep/2014:14:45:51 +0200] "POST /CentarZaTestiranje/test.jsf HTTP/1.1" 200 1935
127.0.0.1 - - [03/Sep/2014:14:45:51 +0200] "GET /CentarZaTestiranje/javax.faces.resource/hello.js.jsf?ln=js HTTP/1.1" 200 354
127.0.0.1 - - [03/Sep/2014:14:45:51 +0200] "GET /CentarZaTestiranje/javax.faces.resource/theme.css.jsf?ln=primefaces-aristo HTTP/1.1" 200 28235
127.0.0.1 - - [03/Sep/2014:14:45:53 +0200] "POST /CentarZaTestiranje/test.jsf HTTP/1.1" 200 1935
127.0.0.1 - - [03/Sep/2014:14:45:53 +0200] "GET /CentarZaTestiranje/javax.faces.resource/hello.js.jsf?ln=js HTTP/1.1" 200 354
127.0.0.1 - - [03/Sep/2014:14:45:53 +0200] "GET /CentarZaTestiranje/javax.faces.resource/theme.css.jsf?ln=primefaces-aristo HTTP/1.1" 200 28235
127.0.0.1 - - [03/Sep/2014:14:45:54 +0200] "POST /CentarZaTestiranje/test.jsf HTTP/1.1" 200 1935
127.0.0.1 - - [03/Sep/2014:14:45:54 +0200] "GET /CentarZaTestiranje/javax.faces.resource/hello.js.jsf?ln=js HTTP/1.1" 200 354
